   151
    1  615    100.0000      0.0013
    2  615    100.0000      0.0020
    3  615    120.0000      0.0016
    4  615    120.0000      0.0020
    5  615    120.0000      0.0032
    6  615    150.0000      0.0020
    7  615    150.0000      0.0032
    8  615    150.0000      0.0050
    9  615    150.0000      0.0080
   10  615    200.0000      0.0026
   11  615    200.0000      0.0032
   12  615    200.0000      0.0050
   13  615    200.0000      0.0080
   14  615    200.0000      0.0130
   15  615    200.0000      0.0200
   16  615    200.0000      0.0320
   17  615    200.0000      0.0500
   18  615    200.0000      0.0800
   19  615    200.0000      0.1300
   20  615    200.0000      0.2500
   21  615    200.0000      0.4000
   22  615    250.0000      0.0033
   23  615    250.0000      0.0050
   24  615    250.0000      0.0080
   25  615    250.0000      0.0130
   26  615    250.0000      0.0200
   27  615    250.0000      0.0320
   28  615    250.0000      0.0500
   29  615    250.0000      0.0800
   30  615    250.0000      0.1300
   31  615    250.0000      0.2500
   32  615    250.0000      0.4000
   33  615    300.0000      0.0039
   34  615    300.0000      0.0050
   35  615    300.0000      0.0080
   36  615    300.0000      0.0130
   37  615    300.0000      0.0200
   38  615    300.0000      0.0320
   39  615    300.0000      0.0500
   40  615    300.0000      0.0800
   41  615    300.0000      0.1300
   42  615    300.0000      0.2500
   43  615    300.0000      0.4000
   44  615    400.0000      0.0052
   45  615    400.0000      0.0080
   46  615    400.0000      0.0130
   47  615    400.0000      0.0200
   48  615    400.0000      0.0320
   49  615    400.0000      0.0500
   50  615    400.0000      0.0800
   51  615    400.0000      0.1300
   52  615    400.0000      0.2500
   53  615    400.0000      0.4000
   54  615    500.0000      0.0066
   55  615    500.0000      0.0080
   56  615    500.0000      0.0130
   57  615    500.0000      0.0200
   58  615    500.0000      0.0320
   59  615    500.0000      0.0500
   60  615    500.0000      0.0800
   61  615    500.0000      0.1300
   62  615    500.0000      0.1800
   63  615    500.0000      0.2500
   64  615    500.0000      0.4000
   65  615    650.0000      0.0085
   66  615    650.0000      0.0130
   67  615    650.0000      0.0200
   68  615    650.0000      0.0320
   69  615    650.0000      0.0500
   70  615    650.0000      0.0800
   71  615    650.0000      0.1300
   72  615    650.0000      0.1800
   73  615    650.0000      0.2500
   74  615    650.0000      0.4000
   75  615    800.0000      0.0105
   76  615    800.0000      0.0130
