 0.300000E+03 0.250000E+00  0.26805E+00  0.22248E-01  0.00000E+00  0.00000E+00  0.26805E+00  0.21356E-01
 0.300000E+03 0.400000E+00  0.15692E+00  0.14806E-01  0.00000E+00  0.00000E+00  0.15692E+00  0.14453E-01
 0.300000E+03 0.180000E+00  0.00000E+00  0.00000E+00  0.31448E+00  0.93636E-02  0.31448E+00  0.90954E-02
 0.400000E+03 0.525000E-02  0.11659E+01  0.48970E-01  0.00000E+00  0.00000E+00  0.11659E+01  0.49014E-01
 0.400000E+03 0.800000E-02  0.10244E+01  0.35597E-01  0.10354E+01  0.30170E-01  0.10317E+01  0.23238E-01
 0.400000E+03 0.130000E-01  0.88628E+00  0.26959E-01  0.83156E+00  0.23557E-01  0.85529E+00  0.17728E-01
 0.400000E+03 0.200000E-01  0.72340E+00  0.23950E-01  0.69202E+00  0.22326E-01  0.70613E+00  0.16370E-01
 0.400000E+03 0.320000E-01  0.60661E+00  0.19321E-01  0.61470E+00  0.19019E-01  0.61090E+00  0.13613E-01
 0.400000E+03 0.500000E-01  0.51224E+00  0.18840E-01  0.50790E+00  0.13906E-01  0.50943E+00  0.11258E-01
 0.400000E+03 0.800000E-01  0.44198E+00  0.16046E-01  0.45043E+00  0.11763E-01  0.44736E+00  0.96166E-02
 0.400000E+03 0.130000E+00  0.35607E+00  0.13735E-01  0.36429E+00  0.11131E-01  0.36128E+00  0.86756E-02
 0.400000E+03 0.250000E+00  0.25003E+00  0.16421E-01  0.25711E+00  0.97700E-02  0.25497E+00  0.85506E-02
 0.400000E+03 0.400000E+00  0.15524E+00  0.12973E-01  0.00000E+00  0.00000E+00  0.15524E+00  0.12568E-01
 0.500000E+03 0.656000E-02  0.10238E+01  0.45802E-01  0.00000E+00  0.00000E+00  0.10238E+01  0.45817E-01
 0.500000E+03 0.800000E-02  0.10331E+01  0.48210E-01  0.00000E+00  0.00000E+00  0.10331E+01  0.48149E-01
 0.500000E+03 0.130000E-01  0.89309E+00  0.34365E-01  0.00000E+00  0.00000E+00  0.89309E+00  0.34213E-01
 0.500000E+03 0.200000E-01  0.72167E+00  0.26564E-01  0.00000E+00  0.00000E+00  0.72167E+00  0.26389E-01
 0.500000E+03 0.320000E-01  0.61631E+00  0.22142E-01  0.00000E+00  0.00000E+00  0.61631E+00  0.22150E-01
 0.500000E+03 0.500000E-01  0.53108E+00  0.21085E-01  0.00000E+00  0.00000E+00  0.53108E+00  0.21206E-01
 0.500000E+03 0.800000E-01  0.43727E+00  0.17251E-01  0.00000E+00  0.00000E+00  0.43727E+00  0.17394E-01
 0.500000E+03 0.130000E+00  0.33967E+00  0.15520E-01  0.00000E+00  0.00000E+00  0.33967E+00  0.15753E-01
 0.500000E+03 0.180000E+00  0.29339E+00  0.16044E-01  0.00000E+00  0.00000E+00  0.29339E+00  0.15897E-01
 0.500000E+03 0.250000E+00  0.27233E+00  0.19622E-01  0.00000E+00  0.00000E+00  0.27233E+00  0.19101E-01
 0.500000E+03 0.400000E+00  0.17121E+00  0.21413E-01  0.00000E+00  0.00000E+00  0.17121E+00  0.20351E-01
 0.650000E+03 0.853000E-02  0.99143E+00  0.52955E-01  0.00000E+00  0.00000E+00  0.99143E+00  0.52969E-01
 0.650000E+03 0.130000E-01  0.85927E+00  0.35410E-01  0.86173E+00  0.23568E-01  0.86107E+00  0.19656E-01
 0.650000E+03 0.200000E-01  0.74346E+00  0.31206E-01  0.75267E+00  0.23730E-01  0.74928E+00  0.18894E-01
 0.650000E+03 0.320000E-01  0.60675E+00  0.24899E-01  0.61752E+00  0.22577E-01  0.61281E+00  0.16834E-01
 0.650000E+03 0.500000E-01  0.51752E+00  0.21589E-01  0.53394E+00  0.17957E-01  0.52713E+00  0.13828E-01
 0.650000E+03 0.800000E-01  0.44307E+00  0.19440E-01  0.43842E+00  0.15956E-01  0.44029E+00  0.12453E-01
 0.650000E+03 0.130000E+00  0.37447E+00  0.17907E-01  0.35286E+00  0.13733E-01  0.36072E+00  0.10981E-01
 0.650000E+03 0.180000E+00  0.30114E+00  0.19817E-01  0.00000E+00  0.00000E+00  0.30114E+00  0.19519E-01
 0.650000E+03 0.250000E+00  0.25847E+00  0.20938E-01  0.24869E+00  0.11103E-01  0.25099E+00  0.97453E-02
 0.650000E+03 0.400000E+00  0.15511E+00  0.20527E-01  0.00000E+00  0.00000E+00  0.15511E+00  0.19881E-01
 0.800000E+03 0.105000E-01  0.95184E+00  0.59490E-01  0.00000E+00  0.00000E+00  0.95184E+00  0.59396E-01
 0.800000E+03 0.130000E-01  0.87005E+00  0.50530E-01  0.84455E+00  0.28494E-01  0.84997E+00  0.24677E-01
 0.800000E+03 0.200000E-01  0.75120E+00  0.35067E-01  0.76175E+00  0.29659E-01  0.75756E+00  0.22755E-01
 0.800000E+03 0.320000E-01  0.58439E+00  0.28503E-01  0.65287E+00  0.24077E-01  0.62488E+00  0.18311E-01
