   0.00263000  0.12900E+01  0.45789E-01  0.00000E+00  0.00000E+00  0.12900E+01  0.45733E-01
   0.00320000  0.12384E+01  0.38746E-01  0.00000E+00  0.00000E+00  0.12384E+01  0.38636E-01
   0.00500000  0.10865E+01  0.29168E-01  0.11046E+01  0.22942E-01  0.10995E+01  0.17931E-01
   0.00800000  0.95457E+00  0.25138E-01  0.94582E+00  0.16841E-01  0.94819E+00  0.14148E-01
   0.01300000  0.80260E+00  0.20377E-01  0.81030E+00  0.13063E-01  0.80822E+00  0.11002E-01
   0.02000000  0.71699E+00  0.18883E-01  0.69221E+00  0.13785E-01  0.70018E+00  0.11138E-01
   0.03200000  0.58933E+00  0.18829E-01  0.58929E+00  0.13572E-01  0.58930E+00  0.10985E-01
   0.05000000  0.51963E+00  0.22088E-01  0.52070E+00  0.10852E-01  0.52049E+00  0.96960E-02
   0.08000000  0.40422E+00  0.18548E-01  0.43843E+00  0.11416E-01  0.43393E+00  0.96176E-02
   0.13000000  0.35347E+00  0.16028E-01  0.00000E+00  0.00000E+00  0.35347E+00  0.16137E-01
   0.25000000  0.26887E+00  0.17780E-01  0.00000E+00  0.00000E+00  0.26887E+00  0.17412E-01
   0.40000001  0.13661E+00  0.12240E-01  0.00000E+00  0.00000E+00  0.13661E+00  0.12358E-01
   0.18000001  0.00000E+00  0.00000E+00  0.30554E+00  0.17300E-01  0.30554E+00  0.17584E-01
