pT(jet) [GeV],pT(jet) [GeV] LOW,pT(jet) [GeV] HIGH,Cross_Section_Zmm [pb],stat +,stat -,syst +,syst -,lumi +,lumi -
40,30,50,0.00254,0.00027,-0.00027,0.001,-0.001,6.00E-05,-6.00E-05
60,50,70,0.00735,0.00038,-0.00038,0.00194,-0.00194,0.00017,-0.00017
80,70,90,0.00984,0.00048,-0.00048,0.00177,-0.00177,0.00023,-0.00023
100,90,110,0.01028,0.00051,-0.00051,0.00165,-0.00165,0.00024,-0.00024
120,110,130,0.00888,0.00048,-0.00048,0.00133,-0.00133,0.00021,-0.00021
140,130,150,0.00682,0.00042,-0.00042,0.00094,-0.00094,0.00016,-0.00016
160,150,170,0.00545,0.00038,-0.00038,0.00071,-0.00071,0.00013,-0.00013
185,170,200,0.00443,0.00031,-0.00031,0.00054,-0.00054,0.00011,-0.00011
225,200,250,0.00292,0.00021,-0.00021,0.00036,-0.00036,7.00E-05,-7.00E-05
275,250,300,0.00159,0.00016,-0.00016,0.00019,-0.00019,4.00E-05,-4.00E-05
350,300,400,0.000674,7.40E-05,-7.40E-05,7.80E-05,-7.80E-05,1.60E-05,-1.60E-05
450,400,500,0.000301,4.90E-05,-4.90E-05,4.70E-05,-4.70E-05,7.00E-06,-7.00E-06
