pT(jet) [GeV],pT(jet) [GeV] LOW,pT(jet) [GeV] HIGH,Cross_Section_Zee [pb],stat +,stat -,syst +,syst -,lumi +,lumi -
40,30,50,0.00377,0.00053,-0.00053,0.00172,-0.00172,8.00E-05,-8.00E-05
60,50,70,0.00974,0.0005,-0.0005,0.00261,-0.00261,0.00022,-0.00022
80,70,90,0.01051,0.00056,-0.00056,0.00205,-0.00205,0.00025,-0.00025
100,90,110,0.0102,0.00057,-0.00057,0.00174,-0.00174,0.00024,-0.00024
120,110,130,0.00767,0.00048,-0.00048,0.00118,-0.00118,0.00019,-0.00019
140,130,150,0.00637,0.00045,-0.00045,0.00087,-0.00087,0.00016,-0.00016
160,150,170,0.0055,0.00042,-0.00042,0.00076,-0.00076,0.00013,-0.00013
185,170,200,0.00376,0.00031,-0.00031,0.00051,-0.00051,9.00E-05,-9.00E-05
225,200,250,0.00253,0.00021,-0.00021,0.00031,-0.00031,6.00E-05,-6.00E-05
275,250,300,0.00172,0.00018,-0.00018,0.00021,-0.00021,4.00E-05,-4.00E-05
350,300,400,0.00079,8.80E-05,-8.80E-05,0.000101,-0.000101,1.90E-05,-1.90E-05
450,400,500,0.000231,4.50E-05,-4.50E-05,4.20E-05,-4.20E-05,6.00E-06,-6.00E-06
