#: ,30-50,50-70,70-90,90-110,110-130,130-150,150-170,170-200,200-250,250-300,300-350,350-400,400-500
'Jet_energy_resolution',-10.5914,-5.40141,-3.94433,-2.97407,-2.67009,-2.57737,-1.12413,-2.13249,-1.74986,-1.49047,-0.78776,-1.52269,-0.83338
'Jet_vertex_tagger',-4.97994,-3.73127,-2.02044,-1.6975,-1.57431,-1.40623,-1.30045,-1.04732,-0.94078,-0.77992,-0.67139,-0.54928,-0.4955
'Pileup',1.02732,-0.81325,-0.36708,-0.31823,-0.05359,0.17711,-0.02147,0.3841,-0.00211,0.22714,-0.47257,0.1998,0.33927
'Unfolding',3.02199,3.00119,3.03641,3.00096,3.00086,3.00001,3.00006,3.00031,3.00039,3.00271,3.00082,3.0046,3.00035
'Monte_Carlo_statistics',3.89923,2.20898,2.14806,2.31745,2.50715,2.88207,3.10322,3.35059,3.55212,4.7248,6.35,7.94909,8.2126
'Top_cross_section',-0.1378,-0.29818,-0.43688,-0.50334,-0.49243,-0.47558,-0.50664,-0.38544,-0.348,-0.36255,-0.38854,-0.34081,-0.37672
'Diboson_cross_section',-0.097,-0.13154,-0.14002,-0.14076,-0.15254,-0.15894,-0.1799,-0.17402,-0.18491,-0.22403,-0.32389,-0.31992,-0.30487
'$W\to\ell\nu$_cross_section',1.00E-05,1.00E-05,-9.00E-05,-0.00031,-0.00058,-4.00E-05,0.00023,-8.00E-05,-0.00308,-0.00166,0.00024,-0.00037,-0.00586
'$Z\to\tau\tau$_cross_section',-0.00165,-0.00167,-0.0018,-0.00131,-0.00099,-0.00225,-0.00338,-0.0009,-0.00102,-0.00133,-1.00E-05,9.00E-05,2.00E-05
'Multijet',-0.61382,-0.59101,-0.65966,-0.58511,-0.57624,-0.59805,-0.69381,-0.47406,-0.7728,-1.22781,-1.37931,-1.387,-1.52111
'Top_parton_shower',0.25271,-0.1061,0.34813,0.5503,-0.57734,-1.31662,-0.65212,-0.48665,-0.51523,-0.52326,-1.2075,-3.00267,-1.84975
'Top_generator',-1.0794,-0.70555,0.12922,1.41826,0.13925,-0.99022,-0.3091,-0.83773,-2.61474,-0.56623,-0.03058,-0.75554,-2.34118
'Luminosity',-2.13799,-2.20479,-2.25534,-2.27827,-2.27853,-2.27526,-2.29343,-2.24899,-2.24119,-2.25911,-2.30093,-2.28343,-2.29286
