pT(jet) [GeV],'pT(jet) [GeV] LOW','pT(jet) [GeV] HIGH',xerr,Cross_Section_Zll [pb],stat +,stat -,syst +,syst -,lumi +,lumi -,,
35,30,40,5,3.831,0.014,-0.014,0.381,-0.381,0.081,-0.081,,
45,40,50,5,2.334,0.011,-0.011,0.169,-0.169,0.05,-0.05,,
55,50,60,5,1.484,0.007,-0.007,0.085,-0.085,0.032,-0.032,,
70,60,80,10,0.831,0.004,-0.004,0.043,-0.043,0.018,-0.018,,
90,80,100,10,0.4364,0.0035,-0.0035,0.0201,-0.0201,0.0095,-0.0095,,
110,100,120,10,0.2459,0.0026,-0.0026,0.0102,-0.0102,0.0054,-0.0054,,
130,120,140,10,0.1495,0.002,-0.002,0.0063,-0.0063,0.0033,-0.0033,,
150,140,160,10,0.0948,0.0016,-0.0016,0.0039,-0.0039,0.0021,-0.0021,,#: table_doi: 10.17182/hepdata.76542.v2/t15
170,160,180,10,0.0631,0.0013,-0.0013,0.0027,-0.0027,0.0014,-0.0014,,#: name: Table 15
190,180,200,10,0.0418,0.001,-0.001,0.0019,-0.0019,0.0009,-0.0009,,#: description: Measured fiducial cross sections for the leading jet $p_{\text{T}}$ in $Z/\gamma^*(\rightarrow\ell\ell)$+>=1 jet events. The statistical
225,200,250,25,0.0228,0.0006,-0.0006,0.001,-0.001,0.0005,-0.0005,,#: data_file: xsect_hJet1PtT_comb.yaml
275,250,300,25,0.01012,0.00037,-0.00037,0.00045,-0.00045,0.00022,-0.00022,,#: keyword reactions: P P --> Z0 X
325,300,350,25,0.00473,0.00024,-0.00024,0.00022,-0.00022,0.00011,-0.00011,,#: keyword observables: DSIG/DJETPT1J
375,350,400,25,0.00271,0.00019,-0.00019,0.00014,-0.00014,6.00E-05,-6.00E-05,,#: keyword cmenergies: 13000.0
450,400,500,50,0.001157,8.90E-05,-8.90E-05,6.40E-05,-6.40E-05,2.60E-05,-2.60E-05,,#: keyword phrases: Single Differential Cross Section | Cross Section | Proton-Proton Scattering | Z Production
550,500,600,50,0.000408,5.20E-05,-5.20E-05,2.60E-05,-2.60E-05,9.00E-06,-9.00E-06,,#: 
650,600,700,50,0.000165,3.30E-05,-3.30E-05,1.00E-05,-1.00E-05,4.00E-06,-4.00E-06,,
