pT(jet) [GeV],'pT(jet) [GeV] LOW','pT(jet) [GeV] HIGH',xerr,Cross_Section_Zll [pb],stat +,stat -,syst +,syst -,lumi +,lumi -,,
40,30,50,10,0.31,0.004,-0.004,0.051,-0.051,0.007,-0.007,,
60,50,70,10,0.3351,0.0029,-0.0029,0.0353,-0.0353,0.0074,-0.0074,,#: table_doi: 10.17182/hepdata.76542.v2/t18
80,70,90,10,0.2236,0.0025,-0.0025,0.0169,-0.0169,0.005,-0.005,,#: name: Table 18
100,90,110,10,0.1473,0.002,-0.002,0.0099,-0.0099,0.0033,-0.0033,,#: description: Measured fiducial cross sections for the leading jet $p_{\text{T}}$ in $Z/\gamma^*(\rightarrow\ell\ell)$+>=2 jet events. The statistical
120,110,130,10,0.0965,0.0016,-0.0016,0.0059,-0.0059,0.0022,-0.0022,,#: data_file: xsect_hJet1Pt2jT_comb.yaml
140,130,150,10,0.0639,0.0013,-0.0013,0.0035,-0.0035,0.0014,-0.0014,,#: keyword reactions: P P --> Z0 X
160,150,170,10,0.0444,0.0011,-0.0011,0.0023,-0.0023,0.001,-0.001,,#: keyword observables: DSIG/DJETPT2J
185,170,200,15,0.0296,0.0008,-0.0008,0.0016,-0.0016,0.0007,-0.0007,,#: keyword cmenergies: 13000.0
225,200,250,25,0.01553,0.00047,-0.00047,0.00077,-0.00077,0.00035,-0.00035,,#: keyword phrases: Single Differential Cross Section | Cross Section | Proton-Proton Scattering | Z Production
275,250,300,25,0.00735,0.00032,-0.00032,0.00036,-0.00036,0.00017,-0.00017,,#: 
325,300,350,25,0.0037,0.00022,-0.00022,0.00019,-0.00019,8.00E-05,-8.00E-05,,
375,350,400,25,0.00217,0.00017,-0.00017,0.00011,-0.00011,5.00E-05,-5.00E-05,,
450,400,500,50,0.000938,7.90E-05,-7.90E-05,5.30E-05,-5.30E-05,2.20E-05,-2.20E-05,,
