pT(jet) [GeV],pT(jet) [GeV] LOW,pT(jet) [GeV] HIGH,Cross_Section_Zmm [pb],stat +,stat -,syst +,syst -,lumi +,lumi -
40,30,50,0.3098,0.0035,-0.0035,0.0496,-0.0496,0.0067,-0.0067
60,50,70,0.3351,0.0026,-0.0026,0.0353,-0.0353,0.0074,-0.0074
80,70,90,0.2241,0.0024,-0.0024,0.0171,-0.0171,0.005,-0.005
100,90,110,0.1461,0.0021,-0.0021,0.01,-0.01,0.0033,-0.0033
120,110,130,0.0964,0.0017,-0.0017,0.0061,-0.0061,0.0022,-0.0022
140,130,150,0.0636,0.0014,-0.0014,0.0037,-0.0037,0.0014,-0.0014
160,150,170,0.0441,0.0011,-0.0011,0.0025,-0.0025,0.001,-0.001
185,170,200,0.0301,0.0009,-0.0009,0.0017,-0.0017,0.0007,-0.0007
225,200,250,0.01583,0.00052,-0.00052,0.00093,-0.00093,0.00035,-0.00035
275,250,300,0.00727,0.00035,-0.00035,0.00046,-0.00046,0.00016,-0.00016
325,300,350,0.00363,0.00024,-0.00024,0.00025,-0.00025,8.00E-05,-8.00E-05
375,350,400,0.00211,0.00018,-0.00018,0.00017,-0.00017,5.00E-05,-5.00E-05
450,400,500,0.000954,9.10E-05,-9.10E-05,8.60E-05,-8.60E-05,2.20E-05,-2.20E-05
