pT(jet) [GeV],pT(jet) [GeV] LOW,pT(jet) [GeV] HIGH,Cross_Section_Zee [pb],stat +,stat -,syst +,syst -,lumi +,lumi -
40,30,50,0.312,0.004,-0.004,0.053,-0.053,0.007,-0.007
60,50,70,0.336,0.003,-0.003,0.0362,-0.0362,0.0074,-0.0074
80,70,90,0.2235,0.0027,-0.0027,0.0175,-0.0175,0.005,-0.005
100,90,110,0.1491,0.0023,-0.0023,0.0108,-0.0108,0.0034,-0.0034
120,110,130,0.0971,0.0019,-0.0019,0.0063,-0.0063,0.0022,-0.0022
140,130,150,0.0645,0.0016,-0.0016,0.004,-0.004,0.0015,-0.0015
160,150,170,0.045,0.0014,-0.0014,0.0027,-0.0027,0.001,-0.001
185,170,200,0.0292,0.0009,-0.0009,0.0019,-0.0019,0.0007,-0.0007
225,200,250,0.01524,0.00055,-0.00055,0.00089,-0.00089,0.00034,-0.00034
275,250,300,0.00748,0.00038,-0.00038,0.0005,-0.0005,0.00017,-0.00017
325,300,350,0.00379,0.00026,-0.00026,0.0003,-0.0003,9.00E-05,-9.00E-05
375,350,400,0.00226,0.00021,-0.00021,0.0002,-0.0002,5.00E-05,-5.00E-05
450,400,500,0.000932,9.40E-05,-9.40E-05,8.90E-05,-8.90E-05,2.20E-05,-2.20E-05
