pT(jet) [GeV],pT(jet) [GeV] LOW,pT(jet) [GeV] HIGH,NP_corrections_Zll [none],syst +,syst -
40,30,50,1.084,0.005,-0.005
60,50,70,1.039,0.005,-0.005
80,70,90,1.006,0.005,-0.005
100,90,110,0.982,0.005,-0.005
120,110,130,0.969,0.005,-0.005
140,130,150,0.964,0.005,-0.005
160,150,170,0.969,0.005,-0.005
185,170,200,0.988,0.005,-0.005
225,200,250,1.028,0.01,-0.01
275,250,300,1.028,0.01,-0.01
325,300,350,1.028,0.01,-0.01
375,350,400,1.028,0.01,-0.01
450,400,500,1.028,0.01,-0.01
